Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
35,1963-01-26,sábado,9446,"[9,4,4,6]",94,"[I,P]","[I,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,1617,"[1,6,1,7]",16,"[I,P]","[I,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,2544,"[2,5,4,4]",25,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,3817,"[3,8,1,7]",38,"[I,P]","[I,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,328,"[0,3,2,8]",03,"[P,I]","[P,I,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO
36,1963-01-30,quarta-feira,8620,"[8,6,2,0]",86,"[P,P]","[P,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,974,"[0,9,7,4]",09,"[P,I]","[P,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,8939,"[8,9,3,9]",89,"[P,I]","[P,I,I,I]",39,"[I,I]",10,PAR,COELHO,7438,"[7,4,3,8]",74,"[I,P]","[I,P,I,P]",38,"[I,P]",10,PAR,COELHO,4048,"[4,0,4,8]",40,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE
37,1963-02-02,sábado,578,"[0,5,7,8]",05,"[P,I]","[P,I,I,P]",78,"[I,P]",20,PAR,PERU,2930,"[2,9,3,0]",29,"[P,I]","[P,I,I,P]",30,"[I,P]",08,PAR,CAMELO,8938,"[8,9,3,8]",89,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,2794,"[2,7,9,4]",27,"[P,I]","[P,I,I,P]",94,"[I,P]",24,PAR,VEADO,2281,"[2,2,8,1]",22,"[P,P]","[P,P,P,I]",81,"[P,I]",21,IMPAR,TOURO
38,1963-02-06,quarta-feira,8838,"[8,8,3,8]",88,"[P,P]","[P,P,I,P]",38,"[I,P]",10,PAR,COELHO,2397,"[2,3,9,7]",23,"[P,I]","[P,I,I,I]",97,"[I,I]",25,IMPAR,VACA,3531,"[3,5,3,1]",35,"[I,I]","[I,I,I,I]",31,"[I,I]",08,PAR,CAMELO,3138,"[3,1,3,8]",31,"[I,I]","[I,I,I,P]",38,"[I,P]",10,PAR,COELHO,9267,"[9,2,6,7]",92,"[I,P]","[I,P,P,I]",67,"[P,I]",17,IMPAR,MACACO
39,1963-02-09,sábado,4291,"[4,2,9,1]",42,"[P,P]","[P,P,I,I]",91,"[I,I]",23,IMPAR,URSO,7363,"[7,3,6,3]",73,"[I,I]","[I,I,P,I]",63,"[P,I]",16,PAR,LEÃO,9641,"[9,6,4,1]",96,"[I,P]","[I,P,P,I]",41,"[P,I]",11,IMPAR,CAVALO,2341,"[2,3,4,1]",23,"[P,I]","[P,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO,4032,"[4,0,3,2]",40,"[P,P]","[P,P,I,P]",32,"[I,P]",08,PAR,CAMELO
40,1963-02-13,quarta-feira,2085,"[2,0,8,5]",20,"[P,P]","[P,P,P,I]",85,"[P,I]",22,PAR,TIGRE,1069,"[1,0,6,9]",10,"[I,P]","[I,P,P,I]",69,"[P,I]",18,PAR,PORCO,5666,"[5,6,6,6]",56,"[I,P]","[I,P,P,P]",66,"[P,P]",17,IMPAR,MACACO,3516,"[3,5,1,6]",35,"[I,I]","[I,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA,7535,"[7,5,3,5]",75,"[I,I]","[I,I,I,I]",35,"[I,I]",09,IMPAR,COBRA
41,1963-02-16,sábado,3979,"[3,9,7,9]",39,"[I,I]","[I,I,I,I]",79,"[I,I]",20,PAR,PERU,2247,"[2,2,4,7]",22,"[P,P]","[P,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,2939,"[2,9,3,9]",29,"[P,I]","[P,I,I,I]",39,"[I,I]",10,PAR,COELHO,1169,"[1,1,6,9]",11,"[I,I]","[I,I,P,I]",69,"[P,I]",18,PAR,PORCO,2102,"[2,1,0,2]",21,"[P,I]","[P,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ
42,1963-02-20,quarta-feira,8403,"[8,4,0,3]",84,"[P,P]","[P,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,8630,"[8,6,3,0]",86,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,5301,"[5,3,0,1]",53,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,4190,"[4,1,9,0]",41,"[P,I]","[P,I,I,P]",90,"[I,P]",23,IMPAR,URSO,2993,"[2,9,9,3]",29,"[P,I]","[P,I,I,I]",93,"[I,I]",24,PAR,VEADO
43,1963-02-23,sábado,2341,"[2,3,4,1]",23,"[P,I]","[P,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO,4187,"[4,1,8,7]",41,"[P,I]","[P,I,P,I]",87,"[P,I]",22,PAR,TIGRE,579,"[0,5,7,9]",05,"[P,I]","[P,I,I,I]",79,"[I,I]",20,PAR,PERU,251,"[0,2,5,1]",02,"[P,P]","[P,P,I,I]",51,"[I,I]",13,IMPAR,GALO,1133,"[1,1,3,3]",11,"[I,I]","[I,I,I,I]",33,"[I,I]",09,IMPAR,COBRA
44,1963-03-02,sábado,6908,"[6,9,0,8]",69,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,4430,"[4,4,3,0]",44,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,9152,"[9,1,5,2]",91,"[I,I]","[I,I,I,P]",52,"[I,P]",13,IMPAR,GALO,3076,"[3,0,7,6]",30,"[I,P]","[I,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,8391,"[8,3,9,1]",83,"[P,I]","[P,I,I,I]",91,"[I,I]",23,IMPAR,URSO
45,1963-03-06,quarta-feira,4057,"[4,0,5,7]",40,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,5588,"[5,5,8,8]",55,"[I,I]","[I,I,P,P]",88,"[P,P]",22,PAR,TIGRE,8936,"[8,9,3,6]",89,"[P,I]","[P,I,I,P]",36,"[I,P]",09,IMPAR,COBRA,3322,"[3,3,2,2]",33,"[I,I]","[I,I,P,P]",22,"[P,P]",06,PAR,CABRA,9662,"[9,6,6,2]",96,"[I,P]","[I,P,P,P]",62,"[P,P]",16,PAR,LEÃO
46,1963-03-09,sábado,4361,"[4,3,6,1]",43,"[P,I]","[P,I,P,I]",61,"[P,I]",16,PAR,LEÃO,5759,"[5,7,5,9]",57,"[I,I]","[I,I,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,322,"[0,3,2,2]",03,"[P,I]","[P,I,P,P]",22,"[P,P]",06,PAR,CABRA,9826,"[9,8,2,6]",98,"[I,P]","[I,P,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,596,"[0,5,9,6]",05,"[P,I]","[P,I,I,P]",96,"[I,P]",24,PAR,VEADO
47,1963-03-13,quarta-feira,7650,"[7,6,5,0]",76,"[I,P]","[I,P,I,P]",50,"[I,P]",13,IMPAR,GALO,372,"[0,3,7,2]",03,"[P,I]","[P,I,I,P]",72,"[I,P]",18,PAR,PORCO,9995,"[9,9,9,5]",99,"[I,I]","[I,I,I,I]",95,"[I,I]",24,PAR,VEADO,6125,"[6,1,2,5]",61,"[P,I]","[P,I,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,97,"[0,0,9,7]",00,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA
48,1963-03-16,sábado,4915,"[4,9,1,5]",49,"[P,I]","[P,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA,1223,"[1,2,2,3]",12,"[I,P]","[I,P,P,I]",23,"[P,I]",06,PAR,CABRA,6654,"[6,6,5,4]",66,"[P,P]","[P,P,I,P]",54,"[I,P]",14,PAR,GATO,7198,"[7,1,9,8]",71,"[I,I]","[I,I,I,P]",98,"[I,P]",25,IMPAR,VACA,1684,"[1,6,8,4]",16,"[I,P]","[I,P,P,P]",84,"[P,P]",21,IMPAR,TOURO
49,1963-03-20,quarta-feira,3496,"[3,4,9,6]",34,"[I,P]","[I,P,I,P]",96,"[I,P]",24,PAR,VEADO,9242,"[9,2,4,2]",92,"[I,P]","[I,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,4622,"[4,6,2,2]",46,"[P,P]","[P,P,P,P]",22,"[P,P]",06,PAR,CABRA,5547,"[5,5,4,7]",55,"[I,I]","[I,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE,625,"[0,6,2,5]",06,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO
50,1963-03-23,sábado,4341,"[4,3,4,1]",43,"[P,I]","[P,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO,430,"[0,4,3,0]",04,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,6193,"[6,1,9,3]",61,"[P,I]","[P,I,I,I]",93,"[I,I]",24,PAR,VEADO,1540,"[1,5,4,0]",15,"[I,I]","[I,I,P,P]",40,"[P,P]",10,PAR,COELHO,9063,"[9,0,6,3]",90,"[I,P]","[I,P,P,I]",63,"[P,I]",16,PAR,LEÃO
51,1963-03-27,quarta-feira,5602,"[5,6,0,2]",56,"[I,P]","[I,P,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,2479,"[2,4,7,9]",24,"[P,P]","[P,P,I,I]",79,"[I,I]",20,PAR,PERU,9925,"[9,9,2,5]",99,"[I,I]","[I,I,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,8652,"[8,6,5,2]",86,"[P,P]","[P,P,I,P]",52,"[I,P]",13,IMPAR,GALO,5984,"[5,9,8,4]",59,"[I,I]","[I,I,P,P]",84,"[P,P]",21,IMPAR,TOURO
52,1963-03-30,sábado,6660,"[6,6,6,0]",66,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,4119,"[4,1,1,9]",41,"[P,I]","[P,I,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,6721,"[6,7,2,1]",67,"[P,I]","[P,I,P,I]",21,"[P,I]",06,PAR,CABRA,7088,"[7,0,8,8]",70,"[I,P]","[I,P,P,P]",88,"[P,P]",22,PAR,TIGRE,299,"[0,2,9,9]",02,"[P,P]","[P,P,I,I]",99,"[I,I]",25,IMPAR,VACA
53,1963-04-03,quarta-feira,2213,"[2,2,1,3]",22,"[P,P]","[P,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,9830,"[9,8,3,0]",98,"[I,P]","[I,P,I,P]",30,"[I,P]",08,PAR,CAMELO,3508,"[3,5,0,8]",35,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,6875,"[6,8,7,5]",68,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,8350,"[8,3,5,0]",83,"[P,I]","[P,I,I,P]",50,"[I,P]",13,IMPAR,GALO
54,1963-04-06,sábado,5234,"[5,2,3,4]",52,"[I,P]","[I,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,7725,"[7,7,2,5]",77,"[I,I]","[I,I,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,6948,"[6,9,4,8]",69,"[P,I]","[P,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,9590,"[9,5,9,0]",95,"[I,I]","[I,I,I,P]",90,"[I,P]",23,IMPAR,URSO,7689,"[7,6,8,9]",76,"[I,P]","[I,P,P,I]",89,"[P,I]",23,IMPAR,URSO
55,1963-04-10,quarta-feira,1071,"[1,0,7,1]",10,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,5301,"[5,3,0,1]",53,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,2733,"[2,7,3,3]",27,"[P,I]","[P,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,4935,"[4,9,3,5]",49,"[P,I]","[P,I,I,I]",35,"[I,I]",09,IMPAR,COBRA,7386,"[7,3,8,6]",73,"[I,I]","[I,I,P,P]",86,"[P,P]",22,PAR,TIGRE
56,1963-04-17,quarta-feira,2472,"[2,4,7,2]",24,"[P,P]","[P,P,I,P]",72,"[I,P]",18,PAR,PORCO,8740,"[8,7,4,0]",87,"[P,I]","[P,I,P,P]",40,"[P,P]",10,PAR,COELHO,9532,"[9,5,3,2]",95,"[I,I]","[I,I,I,P]",32,"[I,P]",08,PAR,CAMELO,786,"[0,7,8,6]",07,"[P,I]","[P,I,P,P]",86,"[P,P]",22,PAR,TIGRE,9707,"[9,7,0,7]",97,"[I,I]","[I,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA
57,1963-04-20,sábado,8428,"[8,4,2,8]",84,"[P,P]","[P,P,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,6293,"[6,2,9,3]",62,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO,9314,"[9,3,1,4]",93,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,4211,"[4,2,1,1]",42,"[P,P]","[P,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,4556,"[4,5,5,6]",45,"[P,I]","[P,I,I,P]",56,"[I,P]",14,PAR,GATO
58,1963-04-24,quarta-feira,87,"[0,0,8,7]",00,"[P,P]","[P,P,P,I]",87,"[P,I]",22,PAR,TIGRE,9646,"[9,6,4,6]",96,"[I,P]","[I,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,8960,"[8,9,6,0]",89,"[P,I]","[P,I,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,748,"[0,7,4,8]",07,"[P,I]","[P,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,454,"[0,4,5,4]",04,"[P,P]","[P,P,I,P]",54,"[I,P]",14,PAR,GATO
59,1963-04-27,sábado,5317,"[5,3,1,7]",53,"[I,I]","[I,I,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,45,"[0,0,4,5]",00,"[P,P]","[P,P,P,I]",45,"[P,I]",12,PAR,ELEFANTE,124,"[0,1,2,4]",01,"[P,I]","[P,I,P,P]",24,"[P,P]",06,PAR,CABRA,4606,"[4,6,0,6]",46,"[P,P]","[P,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,8327,"[8,3,2,7]",83,"[P,I]","[P,I,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO
60,1963-05-04,sábado,450,"[0,4,5,0]",04,"[P,P]","[P,P,I,P]",50,"[I,P]",13,IMPAR,GALO,2477,"[2,4,7,7]",24,"[P,P]","[P,P,I,I]",77,"[I,I]",20,PAR,PERU,3431,"[3,4,3,1]",34,"[I,P]","[I,P,I,I]",31,"[I,I]",08,PAR,CAMELO,5014,"[5,0,1,4]",50,"[I,P]","[I,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA,8886,"[8,8,8,6]",88,"[P,P]","[P,P,P,P]",86,"[P,P]",22,PAR,TIGRE
61,1963-05-08,quarta-feira,3124,"[3,1,2,4]",31,"[I,I]","[I,I,P,P]",24,"[P,P]",06,PAR,CABRA,1278,"[1,2,7,8]",12,"[I,P]","[I,P,I,P]",78,"[I,P]",20,PAR,PERU,7303,"[7,3,0,3]",73,"[I,I]","[I,I,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,388,"[0,3,8,8]",03,"[P,I]","[P,I,P,P]",88,"[P,P]",22,PAR,TIGRE,1326,"[1,3,2,6]",13,"[I,I]","[I,I,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO
62,1963-05-11,sábado,9907,"[9,9,0,7]",99,"[I,I]","[I,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,5827,"[5,8,2,7]",58,"[I,P]","[I,P,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO,304,"[0,3,0,4]",03,"[P,I]","[P,I,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ,9497,"[9,4,9,7]",94,"[I,P]","[I,P,I,I]",97,"[I,I]",25,IMPAR,VACA,2330,"[2,3,3,0]",23,"[P,I]","[P,I,I,P]",30,"[I,P]",08,PAR,CAMELO
63,1963-05-15,quarta-feira,5095,"[5,0,9,5]",50,"[I,P]","[I,P,I,I]",95,"[I,I]",24,PAR,VEADO,8690,"[8,6,9,0]",86,"[P,P]","[P,P,I,P]",90,"[I,P]",23,IMPAR,URSO,667,"[0,6,6,7]",06,"[P,P]","[P,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,1953,"[1,9,5,3]",19,"[I,I]","[I,I,I,I]",53,"[I,I]",14,PAR,GATO,2478,"[2,4,7,8]",24,"[P,P]","[P,P,I,P]",78,"[I,P]",20,PAR,PERU
64,1963-05-18,sábado,3005,"[3,0,0,5]",30,"[I,P]","[I,P,P,I]",05,"[P,I]",02,PAR,ÁGUIA,4290,"[4,2,9,0]",42,"[P,P]","[P,P,I,P]",90,"[I,P]",23,IMPAR,URSO,9861,"[9,8,6,1]",98,"[I,P]","[I,P,P,I]",61,"[P,I]",16,PAR,LEÃO,2002,"[2,0,0,2]",20,"[P,P]","[P,P,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,6527,"[6,5,2,7]",65,"[P,I]","[P,I,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO
65,1963-05-22,quarta-feira,5418,"[5,4,1,8]",54,"[I,P]","[I,P,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,7227,"[7,2,2,7]",72,"[I,P]","[I,P,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO,5551,"[5,5,5,1]",55,"[I,I]","[I,I,I,I]",51,"[I,I]",13,IMPAR,GALO,5912,"[5,9,1,2]",59,"[I,I]","[I,I,I,P]",12,"[I,P]",03,IMPAR,BURRO,733,"[0,7,3,3]",07,"[P,I]","[P,I,I,I]",33,"[I,I]",09,IMPAR,COBRA
66,1963-05-25,sábado,9439,"[9,4,3,9]",94,"[I,P]","[I,P,I,I]",39,"[I,I]",10,PAR,COELHO,9213,"[9,2,1,3]",92,"[I,P]","[I,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,1414,"[1,4,1,4]",14,"[I,P]","[I,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA,6002,"[6,0,0,2]",60,"[P,P]","[P,P,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,1820,"[1,8,2,0]",18,"[I,P]","[I,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO
67,1963-05-29,quarta-feira,2869,"[2,8,6,9]",28,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,9110,"[9,1,1,0]",91,"[I,I]","[I,I,I,P]",10,"[I,P]",03,IMPAR,BURRO,7546,"[7,5,4,6]",75,"[I,I]","[I,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE,9308,"[9,3,0,8]",93,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,4229,"[4,2,2,9]",42,"[P,P]","[P,P,P,I]",29,"[P,I]",08,PAR,CAMELO
68,1963-06-01,sábado,511,"[0,5,1,1]",05,"[P,I]","[P,I,I,I]",11,"[I,I]",03,IMPAR,BURRO,6744,"[6,7,4,4]",67,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,8742,"[8,7,4,2]",87,"[P,I]","[P,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,733,"[0,7,3,3]",07,"[P,I]","[P,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,4677,"[4,6,7,7]",46,"[P,P]","[P,P,I,I]",77,"[I,I]",20,PAR,PERU
69,1963-06-05,quarta-feira,857,"[0,8,5,7]",08,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,8934,"[8,9,3,4]",89,"[P,I]","[P,I,I,P]",34,"[I,P]",09,IMPAR,COBRA,9974,"[9,9,7,4]",99,"[I,I]","[I,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,2876,"[2,8,7,6]",28,"[P,P]","[P,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,9489,"[9,4,8,9]",94,"[I,P]","[I,P,P,I]",89,"[P,I]",23,IMPAR,URSO
70,1963-06-08,sábado,1478,"[1,4,7,8]",14,"[I,P]","[I,P,I,P]",78,"[I,P]",20,PAR,PERU,2344,"[2,3,4,4]",23,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,2269,"[2,2,6,9]",22,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,9843,"[9,8,4,3]",98,"[I,P]","[I,P,P,I]",43,"[P,I]",11,IMPAR,CAVALO,1566,"[1,5,6,6]",15,"[I,I]","[I,I,P,P]",66,"[P,P]",17,IMPAR,MACACO
71,1963-06-12,quarta-feira,1219,"[1,2,1,9]",12,"[I,P]","[I,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,3796,"[3,7,9,6]",37,"[I,I]","[I,I,I,P]",96,"[I,P]",24,PAR,VEADO,2543,"[2,5,4,3]",25,"[P,I]","[P,I,P,I]",43,"[P,I]",11,IMPAR,CAVALO,5966,"[5,9,6,6]",59,"[I,I]","[I,I,P,P]",66,"[P,P]",17,IMPAR,MACACO,987,"[0,9,8,7]",09,"[P,I]","[P,I,P,I]",87,"[P,I]",22,PAR,TIGRE
72,1963-06-15,sábado,6800,"[6,8,0,0]",68,"[P,P]","[P,P,P,P]",00,"[P,P]",00,PAR,VACA,1003,"[1,0,0,3]",10,"[I,P]","[I,P,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,1038,"[1,0,3,8]",10,"[I,P]","[I,P,I,P]",38,"[I,P]",10,PAR,COELHO,8855,"[8,8,5,5]",88,"[P,P]","[P,P,I,I]",55,"[I,I]",14,PAR,GATO,9832,"[9,8,3,2]",98,"[I,P]","[I,P,I,P]",32,"[I,P]",08,PAR,CAMELO
73,1963-06-19,quarta-feira,5621,"[5,6,2,1]",56,"[I,P]","[I,P,P,I]",21,"[P,I]",06,PAR,CABRA,8266,"[8,2,6,6]",82,"[P,P]","[P,P,P,P]",66,"[P,P]",17,IMPAR,MACACO,3881,"[3,8,8,1]",38,"[I,P]","[I,P,P,I]",81,"[P,I]",21,IMPAR,TOURO,8404,"[8,4,0,4]",84,"[P,P]","[P,P,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ,9624,"[9,6,2,4]",96,"[I,P]","[I,P,P,P]",24,"[P,P]",06,PAR,CABRA
74,1963-06-22,sábado,2863,"[2,8,6,3]",28,"[P,P]","[P,P,P,I]",63,"[P,I]",16,PAR,LEÃO,443,"[0,4,4,3]",04,"[P,P]","[P,P,P,I]",43,"[P,I]",11,IMPAR,CAVALO,5280,"[5,2,8,0]",52,"[I,P]","[I,P,P,P]",80,"[P,P]",20,PAR,PERU,2731,"[2,7,3,1]",27,"[P,I]","[P,I,I,I]",31,"[I,I]",08,PAR,CAMELO,7062,"[7,0,6,2]",70,"[I,P]","[I,P,P,P]",62,"[P,P]",16,PAR,LEÃO
75,1963-06-26,quarta-feira,7855,"[7,8,5,5]",78,"[I,P]","[I,P,I,I]",55,"[I,I]",14,PAR,GATO,6073,"[6,0,7,3]",60,"[P,P]","[P,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,1492,"[1,4,9,2]",14,"[I,P]","[I,P,I,P]",92,"[I,P]",23,IMPAR,URSO,8981,"[8,9,8,1]",89,"[P,I]","[P,I,P,I]",81,"[P,I]",21,IMPAR,TOURO,6346,"[6,3,4,6]",63,"[P,I]","[P,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE
76,1963-06-29,sábado,9744,"[9,7,4,4]",97,"[I,I]","[I,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,5574,"[5,5,7,4]",55,"[I,I]","[I,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,7298,"[7,2,9,8]",72,"[I,P]","[I,P,I,P]",98,"[I,P]",25,IMPAR,VACA,7290,"[7,2,9,0]",72,"[I,P]","[I,P,I,P]",90,"[I,P]",23,IMPAR,URSO,122,"[0,1,2,2]",01,"[P,I]","[P,I,P,P]",22,"[P,P]",06,PAR,CABRA
77,1963-07-03,quarta-feira,3007,"[3,0,0,7]",30,"[I,P]","[I,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA,6094,"[6,0,9,4]",60,"[P,P]","[P,P,I,P]",94,"[I,P]",24,PAR,VEADO,2630,"[2,6,3,0]",26,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,1561,"[1,5,6,1]",15,"[I,I]","[I,I,P,I]",61,"[P,I]",16,PAR,LEÃO,2057,"[2,0,5,7]",20,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ
78,1963-07-06,sábado,2048,"[2,0,4,8]",20,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE,1071,"[1,0,7,1]",10,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,1388,"[1,3,8,8]",13,"[I,I]","[I,I,P,P]",88,"[P,P]",22,PAR,TIGRE,9714,"[9,7,1,4]",97,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,2644,"[2,6,4,4]",26,"[P,P]","[P,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO
79,1963-07-10,quarta-feira,274,"[0,2,7,4]",02,"[P,P]","[P,P,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,9281,"[9,2,8,1]",92,"[I,P]","[I,P,P,I]",81,"[P,I]",21,IMPAR,TOURO,9088,"[9,0,8,8]",90,"[I,P]","[I,P,P,P]",88,"[P,P]",22,PAR,TIGRE,8201,"[8,2,0,1]",82,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,4775,"[4,7,7,5]",47,"[P,I]","[P,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO
80,1963-07-13,sábado,3084,"[3,0,8,4]",30,"[I,P]","[I,P,P,P]",84,"[P,P]",21,IMPAR,TOURO,5004,"[5,0,0,4]",50,"[I,P]","[I,P,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ,2814,"[2,8,1,4]",28,"[P,P]","[P,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA,8921,"[8,9,2,1]",89,"[P,I]","[P,I,P,I]",21,"[P,I]",06,PAR,CABRA,7310,"[7,3,1,0]",73,"[I,I]","[I,I,I,P]",10,"[I,P]",03,IMPAR,BURRO
81,1963-07-17,quarta-feira,4065,"[4,0,6,5]",40,"[P,P]","[P,P,P,I]",65,"[P,I]",17,IMPAR,MACACO,9469,"[9,4,6,9]",94,"[I,P]","[I,P,P,I]",69,"[P,I]",18,PAR,PORCO,5493,"[5,4,9,3]",54,"[I,P]","[I,P,I,I]",93,"[I,I]",24,PAR,VEADO,10,"[0,0,1,0]",00,"[P,P]","[P,P,I,P]",10,"[I,P]",03,IMPAR,BURRO,6758,"[6,7,5,8]",67,"[P,I]","[P,I,I,P]",58,"[I,P]",15,IMPAR,JACARÉ
